hs_code,HS_NAME,FIPS,LOCALE,HS_STATE,CBSA,NMCBSA,CSA,NMCSA,sem_5,sem_6,sem_8,sem_9,sem_11,sem_12,sem_14,sem_15,sem_17,sem_18,sem_20,sem_21,sem_23,sem_24,sem_26,sem_27,sem_29,sem_30,sem_32,sem_33
N143335,MARQUETTE ACADEMY,F17099,32,IL,36837,"Ottawa, IL",176,"Chicago-Naperville, IL-IN-WI",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
N143340,OTTAWA TOWNSHIP HIGH SCHOOL,F17099,32,IL,36837,"Ottawa, IL",176,"Chicago-Naperville, IL-IN-WI",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N143343,J B CONANT HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",6,0,5,0,5,0,3,0,4,0,1,0,4,0,1,0,5,0,4,0
N143345,PALATINE HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",2,0,4,0,2,0,4,0,0,0,1,0,4,0,4,0,5,0,1,0
N143347,WILLIAM FREMD HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",3,0,8,0,5,0,4,0,0,0,3,0,1,0,1,0,6,0,8,0
N143356,ALAN B SHEPHERD HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N143357,AMOS ALONZO STAGG HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
N143360,PANA HIGH SCHOOL,F17021,32,IL,45380,"Taylorville, IL",522,"Springfield-Jacksonville-Lincoln, IL",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N143374,RICH SOUTH HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N143377,MAINE TOWNSHIP HIGH SCHOOL SOUTH,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",2,0,4,0,6,0,3,0,6,0,3,0,1,0,4,0,4,0,9,0
N143405,PEARL CITY HIGH SCHOOL,F17177,42,IL,23300,"Freeport, IL",466,"Rockford-Freeport-Rochelle, IL",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N143410,PECATONICA HIGH SCHOOL,F17201,42,IL,40420,"Rockford, IL",466,"Rockford-Freeport-Rochelle, IL",2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
N143415,PEKIN COMMUNITY HIGH SCHOOL,F17179,21,IL,37900,"Peoria, IL",427,"Peoria-Canton, IL",1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
N143420,PEORIA NOTRE DAME HIGH SCHOOL,F17143,NA,IL,37900,"Peoria, IL",427,"Peoria-Canton, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
N143421,PEORIA NOTRE DAME HIGH SCHOOL,F17143,12,IL,37900,"Peoria, IL",427,"Peoria-Canton, IL",1,0,1,0,3,0,4,0,1,0,1,0,0,0,1,0,0,0,1,0
N143425,LIMESTONE COMMUNITY HIGH SCHOOL,F17143,41,IL,37900,"Peoria, IL",427,"Peoria-Canton, IL",0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
N143434,PEORIA CHRISTIAN SCHOOL,F17143,12,IL,37900,"Peoria, IL",427,"Peoria-Canton, IL",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
N143435,PEORIA HIGH SCHOOL,F17143,12,IL,37900,"Peoria, IL",427,"Peoria-Canton, IL",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
